total_files,total_lines,dependency_count,security_score,cpu,ram,storage
2,28,11,0,1,2,10
1762,461708,0,0,4,8,50
1,23,27,0,1,2,10
11,445,11,2,1,2,10
44,12978,16,3,2,4,20
3012,544159,6,0,4,8,50
162,40445,109,6,4,8,50
77,5237,31,0,2,4,20
1123,108072,246,1,4,8,50
95,3841,65,1,1,2,10
47,3723,43,0,1,2,10
3817,647123,113,0,4,8,50
38,2341,16,0,1,2,10
22,780,17,0,1,2,10
141,21346,44,1,4,8,50
50,3708,40,3,1,2,10
83,18362,251,2,2,4,20
88,9188,126,5,2,4,20
7974,1551718,839,1,4,8,50
2000,420845,439,0,4,8,50
1093,289701,423,0,4,8,50
445,78203,384,0,4,8,50
416,99431,52,1,4,8,50
141,5796,22,0,2,4,20
14251,469234,66,0,4,8,50
7,44,11,0,1,2,10
9,175,109,1,1,2,10
4,573,63,0,1,2,10
86,1860,67,0,1,2,10
768,76336,86,0,4,8,50
20,717,28,0,1,2,10
11250,3076985,0,0,4,8,50
99,23817,35,0,4,8,50
2,19,5,0,1,2,10
4,573,63,0,1,2,10
2,19,5,0,1,2,10
2,19,9,0,1,2,10
88,9188,126,5,2,4,20
3,119,18,0,1,2,10
2,44,7,1,1,2,10
0,0,0,0,1,2,10
26,1497,11,1,1,2,10
